dma_1_lps,dma_2_lps,dma_3_lps,dma_4_lps,dma_5_lps,dma_6_lps,dma_7_lps,dma_8_lps,dma_9_lps,dma_10_lps,timestamp,rainfall_mm,temperature_c,humidity_pct,windspeed_kmh,total_demand_lps
8.7525,10.1525,3.7,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 00:00:00,0.0,7.2,79.0,9.0,230.90499999999997
8.7525,10.1525,3.5625,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 01:00:00,0.0,7.3,79.0,6.0,230.76749999999998
8.7525,10.1525,3.2725,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 02:00:00,0.0,7.6,78.0,4.0,230.47749999999996
8.7525,10.1525,2.84,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 03:00:00,0.0,8.2,75.0,4.0,230.04499999999996
8.7525,10.1525,2.735,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 04:00:00,0.0,7.7,77.0,7.0,229.94
8.7525,10.1525,2.7175,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 05:00:00,0.1,7.5,81.0,8.0,229.92249999999996
8.7525,10.1525,2.8675,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 06:00:00,0.0,7.6,82.0,8.0,230.0725
8.7525,10.1525,3.075,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 07:00:00,0.0,7.6,84.0,9.0,230.27999999999997
8.7525,10.1525,3.8675,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 08:00:00,0.5,7.2,91.0,9.0,231.0725
8.7525,10.1525,4.8225,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 09:00:00,0.0,8.0,86.0,9.0,232.02749999999997
8.7525,10.1525,5.87,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 10:00:00,0.3,8.0,88.0,10.0,233.075
8.7525,10.1525,5.96,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 11:00:00,0.0,8.8,87.0,8.0,233.16499999999996
8.7525,10.1525,5.6625,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 12:00:00,0.0,9.4,82.0,5.0,232.8675
8.7525,10.1525,5.2475,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 13:00:00,0.0,10.3,77.0,6.0,232.4525
8.7525,10.1525,4.93,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 14:00:00,0.1,10.0,80.0,7.0,232.135
8.7525,10.1525,4.4,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 15:00:00,0.5,10.1,80.0,8.0,231.60499999999996
8.7525,10.1525,4.3725,31.43,82.7325,9.33499999999999,20.86,19.0975,22.6375,22.2075,2021-01-01 16:00:00,0.7,9.8,84.0,7.0,231.5775
